blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
0,24121,3721,46,9.2,359,103,0,4,11,3,22,6,0,0,0,0,0,0,0,0,1,1,1,0,0,27891,3338,48,9.6,418,77,1,11,4,6,42,6,1,0,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4,421,29,117,27,164,21,64,84,111
1,28594,2884,51,10.2,375,102,0,11,8,15,54,19,0,0,0,1,1,0,0,0,0,0,0,0,0,28055,2005,49,9.8,402,105,1,8,11,6,38,9,1,0,3,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,236,142,517,16,164,84,81,64,39,40
1,33084,2566,52,10.4,414,111,1,16,13,25,27,12,1,0,3,1,0,0,1,0,0,1,1,0,0,30948,3095,51,10.2,431,101,0,13,16,23,34,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,44,777,84,36,24,350,27,876,3,145
0,32313,3118,50,10.0,403,112,1,13,13,28,144,16,1,0,1,1,0,1,0,0,1,1,1,0,0,31752,4469,51,10.2,401,107,0,13,13,21,39,9,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,43,21,875,98,76,164,350,80,20,523
1,33992,4099,50,10.0,466,66,1,12,9,16,38,11,1,0,1,4,1,1,2,0,0,1,1,0,0,28235,2735,49,9.8,377,105,0,9,12,9,68,16,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,24,236,412,523,35,76,117,81,164,105
1,29711,1696,50,10.0,446,96,0,8,15,10,38,11,0,0,0,1,0,0,1,0,1,1,0,0,0,33431,3881,53,10.6,429,120,1,15,8,17,47,8,1,0,2,2,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,141,51,238,84,99,53,202,876,236,54
1,29938,2158,50,10.0,402,114,1,10,8,10,48,15,0,0,0,1,1,0,0,0,1,1,1,0,0,27926,2151,48,9.6,404,90,0,8,10,6,62,9,1,0,3,3,0,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,39,22,38,141,25,142,48,235,223,24
1,31686,1736,52,10.4,421,103,0,15,10,13,44,12,1,0,3,1,0,0,1,0,1,2,1,0,0,26769,2204,49,9.8,369,61,1,10,15,14,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,777,22,141,105,25,238,98,35,350,81
1,34549,4599,49,9.8,373,116,0,12,15,12,52,6,1,0,1,9,4,3,2,0,1,1,2,0,0,25432,4247,39,7.8,255,81,1,15,12,10,87,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,246,202,40,245,76,12,142,20,236
1,33002,2842,51,10.2,467,104,0,15,13,11,89,18,1,0,1,1,0,1,0,0,1,1,1,0,0,32906,2926,50,10.0,414,109,1,13,15,18,72,15,0,0,0,3,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,102,91,236,81,432,246,99,245,39,51
