blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
0,25128,2178,42,8.4,275,68,0,13,20,16,25,4,0,0,0,1,1,0,0,0,0,0,1,0,0,27372,2882,45,9.0,283,83,1,20,13,20,24,10,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,517,240,39,523,555,21,43,236,7,30
1,27288,4243,46,9.2,307,71,1,22,9,21,42,7,0,0,0,0,0,0,0,0,0,1,0,0,0,22160,2205,40,8.0,264,63,0,9,22,6,34,8,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,80,76,21,131,114,117,64,164,84,429
0,20149,1799,41,8.2,310,58,0,6,5,7,63,7,0,0,0,0,0,0,0,0,0,0,1,0,0,21489,2504,41,8.2,345,88,1,5,6,8,61,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,517,432,164,104,236,30,80,555,84
0,21885,3897,42,8.4,311,76,1,7,12,5,24,11,0,0,0,0,0,0,0,0,0,0,1,0,0,25368,1693,44,8.8,325,83,0,12,7,17,93,11,1,0,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,236,555,164,68,28,81,30,432,875,114
0,20023,2038,39,7.8,291,70,0,3,11,4,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,24604,3922,44,8.8,319,79,1,11,3,12,92,8,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,876,81,42,350,133,432,202,3,164,104
1,25139,2549,44,8.8,354,91,1,11,2,10,24,10,1,0,3,1,0,0,1,0,1,2,1,0,0,18435,2155,39,7.8,321,72,0,2,11,3,87,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,68,80,39,22,104,432,30,202,126,238
0,21322,3662,40,8.0,271,59,0,8,13,14,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,4306,43,8.6,297,74,1,13,8,14,31,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,99,104,117,20,429,875,30,81,43,126
1,42794,2804,66,13.2,160,61,0,17,21,26,125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48501,4586,68,13.6,134,91,1,21,17,44,23,0,1,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,517,157,19,875,51,555,240,157,121
1,34985,4450,52,10.4,115,55,1,19,4,31,12,1,1,0,2,2,2,0,0,0,0,0,0,0,0,23322,3322,46,9.2,87,39,0,4,19,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,51,876,517,22,555,22,76,876,517
1,24270,2540,42,8.4,314,70,1,10,9,14,35,15,0,0,0,0,0,0,0,0,1,1,1,0,0,22278,1338,43,8.6,326,67,0,9,10,9,94,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,235,517,134,64,30,15,432,85,105
