gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragnoType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragnoType,redDragon,redRiftHeralds
4662244961,Fail,32618,2658,52,10.4,481,104,1,8,21,8,61,11,1,0,['BOT_LANE'],2,0,1,1,0,0,[],0,0,Win,40482,6382,58,11.6,483,144,0,21,8,26,123,18,0,0,[],6,2,2,2,0,1,['AIR_DRAGON'],1,1
4662064892,Fail,50319,3023,69,13.8,633,129,1,25,36,40,162,25,0,0,[],2,1,1,0,0,1,['AIR_DRAGON'],1,1,Win,60357,7299,75,15.0,629,221,0,36,25,78,67,23,1,1,['BOT_LANE'],8,5,1,2,1,0,"['EARTH_DRAGON', 'WATER_DRAGON']",2,1
4659852089,Fail,57416,4284,74,14.8,710,156,0,31,34,34,108,37,0,0,[],3,1,1,1,0,0,['FIRE_DRAGON'],1,1,Win,61644,4050,78,15.6,735,231,1,34,31,45,100,43,1,0,['BOT_LANE'],6,2,2,2,0,1,"['AIR_DRAGON', 'WATER_DRAGON', 'FIRE_DRAGON']",3,1
4659745291,Fail,45751,4051,63,12.6,580,138,0,26,27,37,82,18,0,0,[],2,1,0,1,0,0,['AIR_DRAGON'],1,1,Win,50088,5805,68,13.6,536,162,1,27,26,52,49,28,1,1,['MID_LANE'],7,5,1,1,1,1,"['EARTH_DRAGON', 'FIRE_DRAGON']",2,1
4659566571,Fail,53288,4190,70,14.0,622,195,1,22,41,34,62,19,0,0,[],2,1,1,0,0,1,"['WATER_DRAGON', 'FIRE_DRAGON']",2,0,Win,63181,3859,77,15.4,631,200,0,41,22,87,218,26,1,0,['TOP_LANE'],5,2,1,2,0,0,"['EARTH_DRAGON', 'FIRE_DRAGON']",2,2
4659163909,Fail,37700,1817,56,11.2,472,109,0,17,32,22,45,12,0,0,[],0,0,0,0,0,1,['WATER_DRAGON'],1,1,Win,45422,7697,63,12.6,487,160,1,32,17,40,80,22,1,0,['TOP_LANE'],6,2,2,2,0,0,"['AIR_DRAGON', 'FIRE_DRAGON']",2,1
4659036295,Fail,55156,1473,67,13.4,548,162,1,29,42,51,76,27,1,0,['TOP_LANE'],4,1,1,2,0,0,"['AIR_DRAGON', 'EARTH_DRAGON']",2,2,Win,60561,8238,72,14.4,604,156,0,42,29,76,59,23,0,1,[],8,5,3,0,1,1,['WATER_DRAGON'],1,0
4657308474,Fail,56476,3683,68,13.6,601,204,0,32,28,70,64,33,0,0,[],5,3,1,1,1,1,"['EARTH_DRAGON', 'FIRE_DRAGON', 'AIR_DRAGON']",3,2,Win,58952,6093,76,15.2,641,165,1,28,32,55,72,22,1,1,['BOT_LANE'],5,0,2,3,1,0,['AIR_DRAGON'],1,0
4657175998,Win,45604,1679,61,12.2,438,164,0,34,21,33,31,12,1,1,['TOP_LANE'],5,2,2,1,1,0,"['WATER_DRAGON', 'AIR_DRAGON']",2,2,Fail,34427,1894,53,10.6,373,94,1,21,34,28,139,6,0,0,[],1,1,0,0,0,1,['FIRE_DRAGON'],1,0
4657028509,Win,50822,8222,66,13.2,559,148,1,34,16,52,172,13,1,0,['BOT_LANE'],4,1,1,2,0,0,"['AIR_DRAGON', 'EARTH_DRAGON']",2,1,Fail,39983,2220,58,11.6,473,136,0,16,34,18,96,20,0,0,[],2,0,1,1,0,1,['FIRE_DRAGON'],1,1
