,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon
11788,1,"[4, 22, 41, 76, 875]",36232,4664,53,10.6,447,114,1,19,12,22,68,19,1,0,3,2,1,0,1,0,0,0,1,0,0,"[81, 432, 64, 142, 58]",29963,1403,49,9.8,407,76,0,12,19,14,139,11,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11789,0,"[120, 8, 497, 268, 81]",27372,3599,49,9.8,428,88,0,7,14,11,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0,"[432, 106, 51, 55, 517]",34110,3370,53,10.6,420,102,1,14,7,18,122,19,1,0,3,4,1,2,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0
11790,0,"[51, 25, 58, 60, 106]",34791,3863,51,10.2,429,96,1,14,17,12,34,13,1,0,2,4,1,2,1,0,0,1,1,0,0,"[412, 222, 102, 91, 72]",34985,3032,53,10.6,413,114,0,17,14,16,39,15,0,0,0,4,1,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,1,1,0
11791,0,"[412, 104, 134, 517, 523]",28322,1417,50,10.0,431,100,0,8,14,11,36,20,0,0,0,0,0,0,0,0,0,0,0,0,0,"[142, 85, 432, 81, 121]",31306,3381,50,10.0,424,96,1,14,8,14,143,13,1,0,3,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0
11792,0,"[62, 3, 432, 22, 875]",26598,1183,47,9.4,352,72,1,10,22,16,72,14,0,0,0,0,0,0,0,0,0,0,0,0,0,"[245, 111, 38, 202, 58]",36354,7909,55,11.0,428,120,0,22,10,31,97,5,1,0,1,3,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
11793,1,"[223, 51, 121, 57, 4]",35587,4307,52,10.4,432,76,0,22,17,20,36,13,1,0,2,2,1,0,1,0,1,1,1,0,0,"[517, 64, 58, 111, 202]",33876,2096,50,10.0,420,92,1,17,22,24,41,9,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11794,1,"[421, 103, 41, 81, 235]",33919,4672,51,10.2,398,89,1,19,6,25,36,17,1,0,3,3,1,1,1,0,0,1,1,0,0,"[134, 875, 58, 15, 432]",23090,2405,43,8.6,358,64,0,6,19,6,106,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
11795,1,"[133, 81, 99, 245, 517]",31942,3747,53,10.6,423,116,0,12,13,15,38,14,0,0,0,1,1,0,0,0,0,0,0,0,0,"[22, 43, 875, 58, 105]",31444,2264,51,10.2,434,91,1,13,12,14,40,19,1,0,1,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0
11796,0,"[104, 875, 81, 57, 142]",28456,1608,49,9.8,448,92,1,7,8,6,56,20,1,0,1,1,0,1,0,0,0,0,2,0,0,"[117, 523, 62, 76, 4]",30027,3982,50,10.0,416,129,0,8,7,11,76,13,0,0,0,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0
11797,1,"[7, 101, 57, 202, 104]",31733,4858,51,10.2,399,107,0,13,11,15,58,11,1,0,1,1,0,1,0,0,1,2,1,0,0,"[48, 201, 235, 142, 517]",27936,4371,49,9.8,396,89,1,11,13,16,51,12,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
