,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon
4559,0,"[25, 267, 104, 64, 40]",41583,2798,65,13.0,151,0,1,29,26,83,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,"[10, 84, 876, 555, 30]",42580,3030,66,13.2,156,0,0,26,29,57,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4560,0,"[89, 145, 18, 61, 35]",27076,3941,48,9.6,64,0,0,11,20,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[202, 121, 115, 13, 99]",32593,1743,52,10.4,108,0,1,20,11,53,17,0,1,1,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4561,0,"[238, 266, 134, 90, 161]",41758,3468,64,12.8,158,0,0,27,31,67,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"[81, 222, 12, 55, 412]",42649,3559,68,13.6,143,0,1,31,27,85,0,0,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4562,0,"[55, 157, 201, 51, 76]",42402,3252,67,13.4,147,0,0,28,35,62,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[40, 126, 103, 104, 236]",44049,3669,68,13.6,173,0,1,35,28,80,0,0,1,1,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4563,1,"[412, 202, 43, 15, 51]",34218,8598,57,11.4,116,0,1,26,14,76,14,0,1,1,2,2,2,0,0,1,0,0,0,0,0,"[54, 14, 555, 4, 350]",30952,3117,52,10.4,86,0,0,14,26,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4564,1,"[26, 39, 76, 268, 111]",41707,3899,65,13.0,162,0,1,27,31,64,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[55, 64, 81, 121, 236]",42395,5242,66,13.2,154,0,0,31,27,65,0,4,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4565,1,"[21, 2, 141, 10, 45]",40156,2436,64,12.8,146,0,0,22,30,57,21,5,1,0,2,1,1,0,0,0,0,0,0,0,0,"[20, 432, 7, 268, 76]",42316,5751,67,13.4,154,0,1,30,22,76,101,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4566,0,"[21, 150, 235, 202, 82]",32878,2078,55,11.0,99,0,0,18,28,49,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[141, 142, 32, 50, 875]",37159,5659,59,11.8,117,0,1,28,18,59,29,0,1,1,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4567,1,"[432, 105, 777, 38, 37]",46551,12451,70,14.0,138,0,0,47,21,139,41,0,0,1,0,1,1,0,0,2,0,0,0,0,0,"[45, 516, 122, 164, 7]",39859,6426,62,12.4,133,0,1,21,47,40,38,0,1,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4568,1,"[61, 121, 235, 39, 21]",41871,7491,66,13.2,157,0,0,28,27,69,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"[112, 127, 96, 163, 238]",41014,3512,64,12.8,158,0,1,27,28,53,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4569,0,"[777, 10, 24, 53, 876]",41907,2007,67,13.4,132,0,0,29,34,70,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"[7, 523, 103, 126, 412]",45423,6093,70,14.0,144,0,1,34,29,86,0,0,1,1,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4570,0,"[43, 50, 238, 126, 30]",20824,2609,43,8.6,340,87,0,3,7,4,31,8,0,0,0,0,0,0,0,0,1,1,0,0,0,"[79, 91, 60, 80, 235]",23112,2857,42,8.4,332,67,1,7,3,8,29,12,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4571,1,"[22, 223, 104, 3, 114]",25347,5173,44,8.8,350,79,0,9,7,11,24,9,1,0,1,2,0,2,0,0,0,0,1,0,0,"[432, 876, 4, 202, 120]",22497,1672,42,8.4,343,72,1,7,9,13,93,9,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0
4572,0,"[121, 41, 53, 126, 131]",44826,3391,70,14.0,141,0,0,41,42,100,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"[9, 105, 48, 67, 127]",46008,3900,69,13.8,134,0,1,42,41,98,2,0,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
