blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon
1,5991,1616,15,3.0,4,0,0,2,2,3,2,9,0,0,0,0,0,0,0,0,0,0,0,6234,884,15,3.0,11,0,1,2,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2954,454,7,1.4,14,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2885,385,6,1.2,10,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2835,335,6,1.2,6,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2978,478,6,1.2,14,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2954,454,6,1.2,9,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2924,424,6,1.2,11,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9056,2171,20,4.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9252,2302,20,4.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8879,1329,20,4.0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10183,3183,23,4.6,11,0,1,4,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9216,2216,20,4.0,9,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10183,3048,24,4.8,14,0,1,4,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9724,3074,20,4.0,12,0,0,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9637,2587,20,4.0,10,0,1,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9402,2602,20,4.0,7,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9159,2259,20,4.0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3514,614,6,1.2,15,4,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2907,407,6,1.2,7,8,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
